point|aeroway|airport|0x2f|0x04
point|amenity|atm|0x2f|0x06
point|amenity|bank|0x2f|0x06
point|amenity|bank;atm|0x2f|0x06
point|amenity|biergarten|0x2d|0x02
point|amenity|bus_station|0x2f|0x08
point|amenity|car_wash|0x2f|0x0e
point|amenity|cinema|0x2d|0x03
point|amenity|college|0x2c|0x05
point|amenity|courthouse|0x30|0x04
point|amenity|fast_food|0x2a|0x07
point|amenity|fuel|0x2f|0x01
point|amenity|grave_yard|0x64|0x03
point|amenity|hospital|0x30|0x02
point|amenity|library|0x2c|0x03
point|amenity|parking|0x2f|0x0b
point|amenity|pharmacy|0x2e|0x05
point|amenity|place_of_worship|0x2c|0x0b
point|amenity|police|0x30|0x01
point|amenity|post_office|0x2f|0x05
point|amenity|pub|0x2d|0x02
point|amenity|public_building|0x30|0x00
point|amenity|restaurant|0x2a|0x00
point|amenity|school|0x2c|0x05
point|amenity|supermarket|0x2e|0x02
point|amenity|telephone|0x51|0x00
point|amenity|theatre|0x2d|0x01
point|amenity|toilets|0x4e|0x00
point|amenity|university|0x2c|0x05
point|historic|museum|0x2c|0x02
point|leisure|golf_course|0x2d|0x05
point|leisure|marina|0x2f|0x09
point|leisure|park|0x2c|0x06
point|leisure|pitch|0x2d|0x0a
point|leisure|sports_centre|0x2d|0x0a
point|leisure|stadium|0x2d|0x0a
point|leisure|track|0x2c|0x08
point|man_made|tower|0x64|0x11
point|place|city|0x04|
point|place|hamlet|0x11|
point|place|suburb|0x0a|
point|place|town|0x08|
point|place|village|0x0b|
point|railway|station|0x2f|0x08
point|shop|bakers|0x2e|0x00
point|shop|bakery|0x2e|0x00
point|shop|butchers|0x2e|0x00
point|tourism|camp_site|0x2b|0x03
point|tourism|caravan_site|0x2b|0x03
point|tourism|hotel|0x2b|0x00
point|tourism|information|0x2f|0x0c
point|tourism|motel|0x2b|0x01
point|tourism|picnic_site|0x2b|0x03
point|tourism|theme_park|0x2c|0x01
polygon|amenity|grave_yard|0x1a|
polygon|amenity|hospital|0x0b|
polygon|amenity|parking|0x05|
polygon|amenity|supermarket|0x08|
polygon|amenity|university|0x0a|
polygon|landuse|cemetary|0x1a|
polygon|landuse|cemetery|0x1a|
polygon|landuse|forest|0x50|
polygon|landuse|industrial|0x0c|
polygon|landuse|reservoir|0x3f|
polygon|leisure|common|0x17|
polygon|leisure|garden|0x17|
polygon|leisure|golf_course|0x18|
polygon|leisure|marina|0x09|
polygon|leisure|nature_reserve|0x16|
polygon|leisure|park|0x17|
polygon|leisure|pitch|0x19|
polygon|leisure|sports_center|0x19|
polygon|leisure|stadium|0x19|
polygon|leisure|track|0x19|
polygon|leisure|water_park|0x09|
polygon|military|airfield|0x04|
polygon|military|barracks|0x04|
polygon|military|danger_area|0x04|
polygon|military|range|0x04|
polygon|natural|marsh|0x51|
polygon|natural|mud|0x51|
polygon|natural|water|0x3c|
polygon|natural|water|0x3c|
polygon|natural|wood|0x50|
polyline|aeroway|runway|0x27|
polyline|boundary|administrative|0x1c|
polyline|boundary|national|0x1c|
polyline|boundary|political|0x1c|
polyline|highway|bridleway|0x16|
polyline|highway|byway|0x16|
polyline|highway|cycleway|0x16|
polyline|highway|footway|0x16|
polyline|highway|minor|0x06|
polyline|highway|motorway|0x02|
polyline|highway|motorway_link|0x02|
polyline|highway|pedestrian|0x06|
polyline|highway|primary|0x04|
polyline|highway|primary_link|0x04|
polyline|highway|residential|0x06|
polyline|highway|secondary|0x05|
polyline|highway|service|0x07|
polyline|highway|steps|0x16|
polyline|highway|tertiary|0x06|
polyline|highway|track|0x0a|
polyline|highway|trunk|0x03|
polyline|highway|trunk_link|0x03|
polyline|highway|unclassified|0x06|
polyline|highway|unsurfaced|0x0a|
polyline|natural|coastline|0x15|
polyline|power|line|0x29|
polyline|railway|light_rail|0x14|
polyline|railway|rail|0x14|
polyline|railway|subway|0x14|
polyline|railway|tram|0x14|
polyline|route|ferry|0x1a|
polyline|waterway|canal|0x1f|
polyline|waterway|drain|0x1f|
polyline|waterway|river|0x1f|
